id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
485,manicore,ITABAIANA-A451,ITABAIANA,A451,-10.671751,-37.471501,0,,,,,,?,0
365,manicore,General Carneiro-A875,General Carneiro,A875,-26.398473,-51.35367,1.009,,,,,,?,0
423,manicore,Cambará do Sul-A897,Cambará do Sul,A897,-29.049125,-50.149636,1.017,,,,,,?,0
101,manicore,Paranoá (COOPA)-A047,Paranoá (COOPA),A047,-16.012222,-47.557417,1.043,,,,,,?,0
100,manicore,Brazlândia-A042,Brazlândia,A042,-15.652894,-48.201369,1.143,,,,,,?,0
163,manicore,Belo Horizonte - Cercadinho-F501,Belo Horizonte , Cercadinho,-19.980034,-43.958651,1.2,,,,,,?,0
449,manicore,São José dos Ausentes-A829,São José dos Ausentes,A829,-28.748615,-50.057869,1.229,,,,,,?,0
115,manicore,Alto Paraíso de Goiás-A024,Alto Paraíso de Goiás,A024,-14.133074,-47.523258,1.265,,,,,,?,0
0,manicore,Projeto Criosfera-C891,Projeto Criosfera,C891,-84,-79.4942,1.285,,,,,,?,0
392,manicore,Petrópolis - Pico do Couto-A610,Petrópolis , Pico do Couto,-22.464889,-43.291505,1.758,,,,,,?,0
473,manicore,Morro da Igreja (Bom Jardim da Serra)-A845,Morro da Igreja (Bom Jardim da Serra),A845,-28.126992,-49.47961,1.79,,,,,,?,0
388,manicore,Itatiaia - Parque Nacional-A635,Itatiaia , Parque Nacional,-22.373944,-44.703111,2.45,,,,,,?,0
391,manicore,Paraty-A619,Paraty,A619,-23.22354,-44.726863,3,,,,,,?,0
497,manicore,Bertioga-A765,Bertioga,A765,-23.844678,-46.143376,5,,,,,,?,0
150,manicore,Farol Preguiças-A218,Farol Preguiças,A218,-2.592341,-42.707553,5,,,,,,?,0
382,manicore,Angra dos Reis-A628,Angra dos Reis,A628,-22.975694,-44.303444,6,,,,,,?,0
444,manicore,Santa Vitória do Palmar (Barra do Chuí)-A899,Santa Vitória do Palmar (Barra do Chuí),A899,-33.742297,-53.372218,7,,,,,,?,0
397,manicore,Rio de Janeiro - Marambaia-A602,Rio de Janeiro , Marambaia,-23.050334,-43.595685,9,,,,,,?,0
151,manicore,Farol Santana-A217,Farol Santana,A217,-2.270811,-43.624043,10,,,,,,?,0
289,manicore,Breves-A228,Breves,A228,-1.680251,-50.478139,11,,,,,,?,0
385,manicore,Campos dos Goytacazes-A607,Campos dos Goytacazes,A607,-21.714767,-41.344017,17,,,,,,?,0
550,manicore,Rocha-U565,Rocha,U565,-34.4936,-54.3124,18,,,,,,?,0
408,manicore,Ipanguaçu-A372,Ipanguaçu,A372,-5.534867,-36.872314,19,,,,,,?,0
396,manicore,Rio de Janeiro-Jacarepaguá-A636,Rio de Janeiro,Jacarepaguá,-22.939883,-43.402897,20,,,,,,?,0
33,manicore,Itaubal-A251,Itaubal,A251,0.5678333,-50.8235278,21,,,,,,?,0
548,manicore,Colonia-U560,Colonia,U560,-34.451,-57.7675,22,,,,,,?,0
387,manicore,Duque de Caxias - Xerém-A603,Duque de Caxias , Xerém,-22.589806,-43.282233,24,,,,,,?,0
