nome-slug,cod,lat,lon,alt,id
marechal-thaumaturgo,A137,-8.950008,-72.786778,221,229
porto-walter,A136,-8.267197,-72.747838,205,228
cruzeiro-do-sul,A108,-7.610773,-72.681333,220,227
feijo,A138,-8.142654,-70.343594,157,230
prq-est-chandless,A102,-9.358353,-69.926257,185,225
eirunepe,A109,-6.650301,-69.86861,122,233
epitaciolandia,A140,-11.023752,-68.73518,225,231
rio-branco,A104,-9.957844,-68.165169,224,226
boca-do-acre,A110,-8.776804,-67.332557,112,234
s-g-da-cachoeira,A134,-0.125207,-67.061246,80,249
labrea,A111,-7.260681,-64.788501,62,235
porto-velho,A925,-8.793662,-63.845931,87,280
coari,A117,-4.097483,-63.145322,34,238
humaita,A112,-7.55252,-63.071343,54,236
ariquemes,A940,-9.949001,-62.961873,128,283
barcelos,A128,-0.987292,-62.924251,30,247
cacoal,A939,-11.445837,-61.434146,184,282
manicore,A133,-5.788533,-61.288276,41,248
boa-vista,A135,2.816897,-60.690821,82,284
manacapuru,A119,-3.294638,-60.628402,37,239
vilhena,A938,-12.734862,-60.157784,583,281
pres-figueiredo,A126,-2.056558,-60.025756,61,246
manaus,A101,-3.103682,-60.015461,49,232
apui,A113,-7.205475,-59.888561,157,237
vila-bela-da-s-trind,A922,-15.062696,-59.872921,213,75
comodoro,A913,-13.708046,-59.762385,577,66
rio-urubu,A125,-2.633654,-59.600582,113,245
pontes-e-lacerda,A937,-15.234582,-59.346215,273,88
autazes,A120,-3.583333,-59.12944,20,240
juina,A920,-11.375126,-58.774785,365,73
cotriguacu,A919,-9.906296,-58.572235,265,72
itacoatiara,A121,-3.133333,-58.48278,42,241
novo-mundo,A927,-12.521901,-58.231401,426,78
salto-do-ceu,A936,-15.124811,-58.127092,301,87
porto-murtinho,A723,-21.70585,-57.886546,79,37
cpo-novo-dos-parecis,A905,-13.785907,-57.838485,525,59
urucara,A124,-2.534749,-57.758099,18,244
caceres,A941,-16.07474,-57.693047,124,89
maues,A122,-3.39901,-57.673772,25,242
corumba,A724,-18.99667,-57.6375,112,38
juara,A914,-11.280158,-57.526641,263,67
tangara-da-serra,A902,-14.650117,-57.431556,440,56
apiacas,A910,-9.563392,-57.393578,218,64
porto-estrela,A935,-15.324728,-57.225845,148,86
nova-maringa,A928,-13.038642,-57.092201,334,79
uruguaiana,A809,-29.83987,-57.081899,74,454
parintins,A123,-2.639152,-56.756177,19,243
rio-claro,A903,-13.453981,-56.677323,340,387
s-j-do-rio-claro,A903,-13.453981,-56.677323,340,57
nhumirim,A717,-18.988681,-56.622868,102,32
bela-vista,A757,-22.101536,-56.540763,206,50
quarai,A831,-30.368578,-56.437115,113,464
