id-ditc,nome-slug,nome-antes,nome,cod,lat,lon,alt,id,name-original,elevação,lat_dms,lon_dms,Igualdade,FuzzySet
1,cruzeiro-do-sul,Cruzeiro do Sul-A108,Cruzeiro do Sul,A108,-7.610773,-72.681333,220 ,227,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CRUZEIRO DO SUL/AC,220.00,07°36'S,72°40'W,IGUAL,1
2,epitaciolandia,Epitaciolândia-A140,Epitaciolândia,A140,-11.023752,-68.735180,225 ,231,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EPITACIOLANDIA/AC,217.00,11°01'S,68°44'W,IGUAL,1
3,feijo,Feijó-A138,Feijó,A138,-8.142654,-70.343594,157 ,230,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE FEIJO/AC,163.00,08°08'S,70°20'W,IGUAL,1
4,marechal-thaumaturgo,Marechal Thaumaturgo-A137,Marechal Thaumaturgo,A137,-8.950008,-72.786778,221 ,229,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MARECHAL THAUMATURGO/AC,230.00,08°57'S,72°47'W,IGUAL,1
6,porto-walter,Porto Walter-A136,Porto Walter,A136,-8.267197,-72.747838,205 ,228,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PORTO WALTER/AC,204.00,08°16'S,72°44'W,IGUAL,1
7,rio-branco,Rio Branco-A104,Rio Branco,A104,-9.957844,-68.165169,224 ,226,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE RIO BRANCO/AC,220.00,09°57'S,68°09'W,IGUAL,1
8,arapiraca,Arapiraca-A353,Arapiraca,A353,-9.804551,-36.619198,237 ,93,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ARAPIRACA/AL,241.00,09°48'S,36°37'W,IGUAL,1
9,coruripe,Coruripe-A355,Coruripe,A355,-10.128482,-36.286348,82 ,94,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE CORURIPE/AL,74.00,10°07'S,36°17'W,IGUAL,1
10,maceio,Maceió-A303,Maceió,A303,-9.551168,-35.770195,84 ,90,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MACEIÓ/AL,64.50,09°33'S,35°46'W,IGUAL,1
11,palmeira-dos-indios,Palmeira dos Índios-A327,Palmeira dos Índios,A327,-9.420334,-36.620371,278 ,92,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PALMEIRA DOS INDIOS/AL,275.00,09°25'S,36°37'W,IGUAL,1
12,pao-de-acucar,Pão de Açucar-A323,Pão de Açucar,A323,-9.749220,-37.430765,21 ,91,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE PÃO DE AÇUCAR/AL,19.00,09°45'S,37°26'W,IGUAL,1
14,sao-luis-do-quitunde,São Luis do Quitunde-A356,São Luis do Quitunde,A356,-9.287481,-35.565878,14 ,95,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE SÃO LUIS DO QUITUNDE/AL,19.00,09°17'S,35°33'W,IGUAL,1
15,apui,Apui-A113,Apui,A113,-7.205475,-59.888561,157 ,237,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE APUI/AM,168.00,07°12'S,59°53'W,IGUAL,1
16,autazes,Autazes-A120,Autazes,A120,-3.583333,-59.12944,20 ,240,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE AUTAZES/AM,28.00,03°34'S,59°07'W,IGUAL,1
17,barcelos,Barcelos-A128,Barcelos,A128,-0.987292,-62.924251,30 ,247,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BARCELOS/AM,17.00,00°59'S,62°55'W,IGUAL,1
18,boca-do-acre,Boca do Acre-A110,Boca do Acre,A110,-8.776804,-67.332557,112 ,234,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE BOCA DO ACRE/AM,111.00,08°46'S,67°19'W,IGUAL,1
19,coari,Coari-A117,Coari,A117,-4.097483,-63.145322,34 ,238,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE COARI/AM,43.00,04°05'S,63°08'W,IGUAL,1
20,eirunepe,Eirunepé-A109,Eirunepé,A109,-6.650301,-69.868610,122 ,233,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE EIRUNEPÉ/AM,143.00,06°39'S,69°52'W,IGUAL,1
21,humaita,Humaitá-A112,Humaitá,A112,-7.552520,-63.071343,54 ,236,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE HUMAITA/AM,72.00,07°38'S,63°04'W,IGUAL,1
22,itacoatiara,Itacoatiara-A121,Itacoatiara,A121,-3.133333,-58.48278,42 ,241,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE ITACOATIARA/AM,37.00,03°07'S,58°28'W,IGUAL,1
23,labrea,Lábrea-A111,Lábrea,A111,-7.260681,-64.788501,62 ,235,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE LABREA/AM,64.00,07°15'S,64°47'W,IGUAL,1
30,manacapuru,Manacapuru-A119,Manacapuru,A119,-3.294638,-60.628402,37 ,239,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE MANACAPURU/AM,19.00,03°17'S,60°37'W,IGUAL,1
32,urucara,Urucará-A124,Urucará,A124,-2.534749,-57.758099,18 ,244,ESTAÇÃO METEOROLÓGICA AUTOMATICA DE URUCARA/AM,17.00,02°32'S,57°45'W,IGUAL,1
