latitude,longitude
28.973,-95.863
28.967,-95.867
29.717,-95.383
29.717,-95.383
29.8,-95.9
29.8,-95.9
29.506,-95.477
29.5,-95.477
29.266,-96.008
29.254,-96.154
29,-95.32
28.983,-95.317
29.517,-95.25
29.519,-95.242
30.067,-95.55
30.068,-95.556
29.98,-95.36
29.818,-95.673
29.633,-95.267
29.638,-95.282
29.6,-95.167
29.617,-95.167
28.95,-95.3
29.638,-95.282
30.357,-95.414
30.35,-95.417
29.11,-95.462
29.117,-95.467
29.622,-95.657
29.617,-95.65
30.356,-95.008
28.95,-95.3
29.55,-95.067
28.933,-95.3
29.726,-95.266
29.98,-95.36
29.767,-95.367
29.638,-95.282
29.3,-94.8
29.273,-94.859
29.273,-94.859
29.273,-94.859
29.267,-94.867
29.33,-94.77
29.29,-94.79
28.99,-94.9
29.48,-94.92
29.28,-94.78
29.3,-94.78
29.68,-94.98
29.35,-94.72
