Nome,Latitude,Longitude,Altitude
Projeto Criosfera-C891,-84.0000,-79.4942,1.285 
Cruzeiro do Sul-A108,-7.610773,-72.681333,220 
Epitaciolândia-A140,-11.023752,-68.735180,225 
Feijó-A138,-8.142654,-70.343594,157 
Marechal Thaumaturgo-A137,-8.950008,-72.786778,221 
Parque Estadual Chandless-A102,-9.358353,-69.926257,185 
Porto Walter-A136,-8.267197,-72.747838,205 
Rio Branco-A104,-9.957844,-68.165169,224 
Arapiraca-A353,-9.804551,-36.619198,237 
Coruripe-A355,-10.128482,-36.286348,82 
Maceió-A303,-9.551168,-35.770195,84 
Palmeira dos Índios-A327,-9.420334,-36.620371,278 
Pão de Açucar-A323,-9.749220,-37.430765,21 
Piranhas-A371,-9.622261,-37.767113,187 
São Luis do Quitunde-A356,-9.287481,-35.565878,14 
Apui-A113,-7.205475,-59.888561,157 
Autazes-A120,-3.583333,-59.12944,20 
Barcelos-A128,-0.987292,-62.924251,30 
Boca do Acre-A110,-8.776804,-67.332557,112 
Coari-A117,-4.097483,-63.145322,34 
Eirunepé-A109,-6.650301,-69.868610,122 
Humaitá-A112,-7.552520,-63.071343,54 
Itacoatiara-A121,-3.133333,-58.48278,42 
Lábrea-A111,-7.260681,-64.788501,62 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
Manacapuru-A119,-3.294638,-60.628402,37 
São Gabriel da Cachoeira-A134,-0.125207,-67.061246,80 
Urucará-A124,-2.534749,-57.758099,18 
Itaubal-A251,0.5678333,-50.8235278,21 
Macapá-A249,0.035020,-51.088763,17 
Oiapoque-A242,3.813583,-51.862500,15 
Tartarugalzinho-A243,1.496667,-50.9167,21 
Abrolhos-A422,-17.963016,-38.703288,21 
Amargosa-A434,-13.009468,-39.616881,398 
Barra-A429,-11.084858,-43.138998,408 
Barreiras-A402,-12.124715,-45.027049,474 
Belmonte-A447,-16.088049,-39.215389,90 
Bom Jesus da Lapa-A418,-13.251094,-43.405365,448 
Brumado-A433,-14.181886,-41.672281,473 
Buritirama-A432,-10.722925,-43.651203,506 
Caravelas-A405,-17.739413,-39.258617,6 
Conde-A431,-12.035833,-37.683889,32 
Correntina-A416,-13.332386,-44.617376,552 
Cruz das Almas-A406,-12.675422,-39.089580,220 
Curaçá-A448,-9.0013,-39.9124,370 
Delfino-A443,-10.454920,-41.206996,646 
Euclides da Cunha-A442,-10.537233,-38.996605,432 
Feira de Santana-A413,-12.196200,-38.967384,230 
Formosa do Rio Preto-A452,-11.0521639,-45.2007694,488 
Guanambi-A426,-14.2081235,-42.749647,552 
Ibotirama-A439,-12.193060,-43.213420,425 
Ilhéus-A410,-14.658803,-39.181438,80 
Ipiaú-A445,-14.171304,-39.692502,132 
Irecê-A424,-11.328998,-41.864504,768 
Itaberaba-A408,-12.524062,-40.299714,250 
Itamaraju-A455,-17.436667,-39.550861,110 
